locationName,locationLatitude,locationLongitude
Engineering Center,40.0068,-105.2628
Leeds Business,40.005529,-105.2633944
C4C,40.00439,-105.2649609
Mathematics,40.0078,-105.2645
Norlin LIbrary,40.008711,-105.27075
Benson,40.0078961,-105.2658297
Muenzinger,40.0086626,-105.2691503
Ramaley Biology,40.0089701,-105.2718599
Humanities,40.0090957,-105.2719211
Hellems,40.0075662,-105.2730583
UMC,40.0065339,-105.2719142
Clare Small Arts,40.0104812,-105.2700319
Cristol Chemistry,40.0076076,-105.2710777
Duane Physics,40.0079956,-105.2675724
Stadium,40.00961,-105.266866
Rec Center,40.010093,-105.269074
Environmental Design,40.0069481,-105.2695285
Fleming,40.0020572,-105.2634423
Kitteridge,40.0029224,-105.2633844
Wolf Law,40.0012649,-105.2625796
Wardenburg Health Center,40.0052072,-105.2689854
Old Main,40.009344,-105.2734977
Atlas Center,40.0074062,-105.2699877
Visual Arts Center,40.0076344,-105.2705478
Fiske Planetarium,40.0035822,-105.2635357
SLHS,40.003742,-105.262467
Coors Events Center,40.004971,105.260629
Regent Administration Building,40.004573,105.266993
Porter Biosciences,40.0089663,-105.2708564
McKenna Languages,40.009874,-105.273565
Ketchum Arts & Sciences,40.008276,105.27018
Macky Auditorium,40.0099913,-105.2749753
Hale Science,40.0092,-105.275
Guggenheim Geography,40.003,-105.16274
GOLD Biosciences,40.008638,-105.2704382
Gates Woodruff Women's Studies Cottage,40.008299,-105.274783
Ekeley Science,40.0081191,-105.2739813
Denison Arts & Sciences ,40.0069522,-105.2755687
Armory Building,40.01116,-105.273922
CASE,40.0063537,-105.2703099
CMCI Dept. of Information Sciences ,40.0110168,-105.2739703
University Administrative Center,40.0041377,-105.2703261
University Club,40.005355,-105.2704211
Woodbury Arts & Sciences ,40.0092612,-105.272412
Education Building,40.0074837,-105.2752919
Museum Collections,40.0074546,-105.2741634
Cheyenne Arapahoe,40.0051758,-105.2678399
WillVille North,39.9988804,-105.2525288
Stadium,40.009472,-105.2668869
Music,40.006016,-105.26907
Continuing Education,40.0108153,-105.2744089
Norlin Library,40.008717,-105.270784
Economics,40.0078477,-105.2767073
ITLL,40.0069019,-105.2617448
Kittredge Center,40.0032436,-105.2809229
Lesser House,40.007581,-105.2659417
Discovery Learning Center,40.0075028,-105.2618861
IBS,40.0112174,-105.2744775
Observatory,40.0036779,-105.2629555
Aerospace building,40.0087859,-105.2723371
SEEC,40.0096096,-105.2422849
Theater,40.0081635,-105.2736051
Carlson Gym,40.009454,-105.2706823
JSCBB,40.008301,-105.2512412
Farrand Hall,40.0059833,-105.265897
