abbrev,locationName
WLAW,Wolf Law
EDUC,Education Building
HLMS,Hellems
CLRE,Clare Small Arts
MUEN,Muenzinger
FLMG,Fleming
DUAN,Duane Physics
MATH,Mathematics
ENVD,Environmental Design
ECCR,Engineering Center
MCOL,Museum Collections
KOBL,Leeds Business
CASE,CASE
CHEY,Cheyenne Arapahoe
KTCH,Ketchum Arts & Sciences
WVN,WillVille North
STAD,Stadium
MUS,Music
MCKY,Macky Auditorium
CEDU,Continuing Education
ARMR,Armory Building
VAC,Visual Arts Center
ECNT,Engineering Center
LIBR,Norlin Library
HUMN,Humanities
GUGG,Guggenheim Geography
ECON,Economics
ITLL,ITLL
ECCE,Engineering Center
ATLS,Atlas Center
EKLC,Ekeley Science
KCEN,Kittredge Center
LESS,Lesser House
ECEE,Engineering Center
ECST,Engineering Center
DLC,Discovery Learning Center
ECES,Engineering Center
CLUB,University Club
CHEM,Cristol Chemistry
HALE,Hale Science
IBS,IBS
OBSV,Observatory
BESC,Benson
AERO,Aerospace building
SEEC,SEEC
RAMY,Ramaley Biology
THTR,Theater
CARL,Carlson Gym
GOLD,GOLD Biosciences
PORT,Porter Biosciences
MKNA,McKenna Languages
SLHS,SLHS
BIOT,JSCBB
FRND,Farrand Hall
